"","scientific_name","taxa_data.kingdom.i.","taxa_data.class.i.","taxa_data.order.i.","File_loc","Year","original","taxa_data.scientificNameAuthorship.i.","Title","EID","taxa_data.family.i.","taxa_data.ï..taxonID.i.","taxa_data.acceptedNameUsageID.i.","taxa_data.parentNameUsageID.i.","taxa_data.taxonomicStatus.i.","level"
"5870","Prosthemadera novaeseelandiae","Animalia","Aves","Passeriformes","10.1046/j.1523-1739.1999.97471.x","1999","Prosthemadera novaeseelandiae","Gmelin 1788","Effects of pollinator loss on endemic New Zealand mistletoes (Loranthaceae)","2-s2.0-0032998776","Meliphagidae","27747953",NA,"33444845","accepted name","1a"
"5871","Prosthemadera novaeseelandiae","Animalia","Aves","Passeriformes","10.1080/0028825X.1988.10410647","1988","Prosthemadera novaeseelandiae","Gmelin 1788","Reproductive biology of Phormium tenax: A honeyeater-pollinated species","2-s2.0-0024254784","Meliphagidae","27747953",NA,"33444845","accepted name","1a"
"5872","Psarocolius decumanus","Animalia","Aves","Passeriformes","","2002","Psarocolius decumanus","Pallas 1769","Exploitation of Erythrina dominguezii Hassl. (Fabaceae) nectar by perching birds in a dry forest in western Brazil","2-s2.0-0037983072","Icteridae","27747982",NA,"33380695","accepted name","1a"
"5873","Psarocolius decumanus","Animalia","Aves","Passeriformes","","2002","Psarocolius decumanus","Pallas 1769","Exploitation of Erythrina dominguezii Hassl. (Fabaceae) nectar by perching birds in a dry forest in western Brazil","2-s2.0-0037983072","Icteridae","27747982",NA,"33380695","accepted name","1a"
"5874","Ptilonorhynchus violaceus","Animalia","Aves","Passeriformes","","2004","Ptilonorhynchus violaceus","Vieillot 1816","Satin bowerbird ptilonorhynchus violaceus and grey currawong strepera versicolor eating feijoa acca sellowiana petals","2-s2.0-84974680448","Ptilonorhynchidae","27748051",NA,"33479174","accepted name","1a"
"5875","Pycnonotus barbatus","Animalia","Aves","Passeriformes","10.1023/A:1016648326847","2001","Pycnonotus barbatus","Desfontaines 1789","Effects of tsetse targets on mammals and birds in Kasungu National Park, Malawi","2-s2.0-0034923727","Pycnonotidae","27748074",NA,"33356578","accepted name","1a"
"5876","Pycnonotus goiavier","Animalia","Aves","Passeriformes","","2015","Pycnonotus goiavier","Scopoli 1786","The diet of yellow-vented bulbul (pycnonotus goiavier) in oil palm agroecosystems","2-s2.0-84952010938","Pycnonotidae","27748085",NA,"33356578","accepted name","1a"
"5877","Pycnonotus leucotis","Animalia","Aves","Passeriformes","10.1371/journal.pone.0102607","2014","Pycnonotus leucotis","Gould 1836","Nectar robbing positively influences the reproductive success of Tecomella undulata (Bignoniaceae)","2-s2.0-84904551597","Pycnonotidae","27748088",NA,"33356578","accepted name","1a"
"5878","Pycnonotus sinensis","Animalia","Aves","Passeriformes","10.1093/aob/mcr293","2012","Pycnonotus sinensis","Gmelin 1789","Generalist passerine pollination of a winter-flowering fruit tree in central China","2-s2.0-84863080760","Pycnonotidae","27748098",NA,"33356578","accepted name","1a"
"5879","Pycnonotus tricolor","Animalia","Aves","Passeriformes","10.1111/aec.12387","2016","Pycnonotus tricolor","Hartlaub 1862","Of feathers and fur: Differential pollinator roles of birds and small mammals in the grassland succulent Aloe peglerae","2-s2.0-84984696167","Pycnonotidae","27748103",NA,"33356578","accepted name","1a"
"5880","Pycnonotus tricolor","Animalia","Aves","Passeriformes","10.1016/j.cbpa.2015.08.015","2015","Pycnonotus tricolor","Hartlaub 1862","Effects of nicotine on the digestive performance of nectar-feeding birds reflect their relative tolerance to this alkaloid","2-s2.0-84942513086","Pycnonotidae","27748103",NA,"33356578","accepted name","1a"
"5881","Pycnonotus tricolor","Animalia","Aves","Passeriformes","10.1007/s10682-014-9718-7","2015","Pycnonotus tricolor","Hartlaub 1862","Nectar palatability can selectively filter bird and insect visitors to coral tree flowers","2-s2.0-84929457994","Pycnonotidae","27748103",NA,"33356578","accepted name","1a"
"5882","Pycnonotus tricolor","Animalia","Aves","Passeriformes","10.1111/j.1600-048X.2013.00079.x","2013","Pycnonotus tricolor","Hartlaub 1862","Bird pollinators differ in their tolerance of a nectar alkaloid","2-s2.0-84880044605","Pycnonotidae","27748103",NA,"33356578","accepted name","1a"
"5883","Pycnonotus tricolor","Animalia","Aves","Passeriformes","10.1007/s10336-010-0498-8","2010","Pycnonotus tricolor","Hartlaub 1862","Sugar preferences and digestive efficiency in an opportunistic avian nectarivore, the Dark-capped Bulbul Pycnonotus tricolor","2-s2.0-77953915575","Pycnonotidae","27748103",NA,"33356578","accepted name","1a"
"5884","Saltator coerulescens","Animalia","Aves","Passeriformes","","2016","Saltator coerulescens","Vieillot 1817","Exploitation of Ceiba pubiflora flowers by birds","2-s2.0-84983339529","Cardinalidae","27748284",NA,"33334132","accepted name","1a"
"5885","Stephanophorus diadematus","Animalia","Aves","Passeriformes","","1997","Stephanophorus diadematus","Temminck 1823","Birds as pollinators of feijoa (acca sellowiana bera)","2-s2.0-0007557679","Thraupidae","27748613",NA,"33479581","accepted name","1a"
"5886","Strepera versicolor","Animalia","Aves","Passeriformes","","2004","Strepera versicolor","Latham 1802","Satin bowerbird ptilonorhynchus violaceus and grey currawong strepera versicolor eating feijoa acca sellowiana petals","2-s2.0-84974680448","Cracticidae","27748624",NA,"33292190","accepted name","1a"
"5887","Sylvia atricapilla","Animalia","Aves","Passeriformes","10.1111/j.0030-1299.2005.13877.x","2005","Sylvia atricapilla","Linnaeus 1758","First confirmation of a native bird-pollinated plant in Europe","2-s2.0-24744466061","Sylviidae","27748654",NA,"33391968","accepted name","1a"
"5888","Sylvia melanocephala","Animalia","Aves","Passeriformes","10.1093/aob/mcr255","2012","Sylvia melanocephala","Gmelin 1789","Insects, birds and lizards as pollinators of the largest-flowered Scrophularia of Europe and Macaronesia","2-s2.0-84555188915","Sylviidae","27748667",NA,"33391968","accepted name","1a"
